"d4r55","RfnDt","rsqaWe","wiI7pd"
"Ma Ca","Local Guide · 1.248 reseñas · 21.832 fotos","Hace 2 años","Estación de metro que pertenece a la línea 1. Dispone de 2 accesos a la calle (Uno de ellos a un centro comercial) además de ascensor. El vestíbulo es enorme."
"César Armando Pérez Ávila","Local Guide · 195 reseñas · 42 fotos","Hace 4 meses","Esta zona en vallecas está increíble. cerca del burger y te sientes muy seguro."
"Ale Villarreal","3 reseñas","Hace 5 meses","Servicio excelente, poca tiempo de espera y el personal es muy eficaz y muy trato a los clientes."
"María Fernández","Local Guide · 58 reseñas · 121 fotos","Hace 6 años","Amplio, todo nuevo y el tren tarda menos de 5 minutos. Lo único malo es que no tiene ascensor."
"NAS","Local Guide · 474 reseñas · 423 fotos","Hace un mes","Estación amplia y bonito barrio"
"Indix","Local Guide · 16 reseñas · 4 fotos","Hace 2 años","Estación de metro público que no es para todos los públicos!!! No sé dónde ha visto ascensor la usuaria @Ma ca !!! No hay acceso para sillas en esta estación... Que lo ponga en una reseña puede llevar a errores para las personas discapacitadas. En un barrio que es tan populoso como es Puente Vallecas, que esta estación de metro no posea ascensor ni escaleras mecánicas para bajar desde la calle, es algo incomprensible. Sin embargo al entrar a ella después de bajar largas escaleras, irónicamente hay una puerta de acceso especial con una pegatina que muestra una silla de ruedas, ancianos y mujeres con carritos, en mi silla de ruedas no podría bajar a esta zona, me parece una falta de respeto esa puerta de acceso especial, que lo único de especial que tiene es que es como Tony Cantó inservible. Esto es una vergüenza para Madrid en 2022 y siendo una capital Europea dicen que primer mundista, pero de eso estamos muy lejos. Luego de pasar los tornos hay escaleras mecánicas para todos aquellos usuarios que sí pueden caminar, porque esos son los que valen, los usuarios que tenemos una discapacidad no valemos para el estado español ni para la comunidad de Madrid. Señora Ayuso (🤮), señor ALMEIDA (🤮) señor Sánchez (🤮) menos viajes, menos demagogias y menos abusar de la ciudadanía. Más transporte público y acceso para todos. Trasporte público para todos los públicos."
"José Julio Melgares","Local Guide · 2.806 reseñas · 12.351 fotos","Hace 7 años","Estación con dos accesos/salidas, uno a cada lado de la Avenida de la Albufera. Carece de ascensores."
"Kevin Costner","Local Guide · 215 reseñas · 114 fotos","Hace 2 años","En Metro cada vez peor, la seguridad brilla por su ausencia el personal en paradero desconocido y los viajeros pasan de mascarillas sin que nadie lo ponga remedio, vamos una pena añadida a los retrasos entre coches por la subida de la luz. No culpó a la Sra. Ayuso porque no se entera, ella tiene coche y chófer que pagamos nosotros."
"Mamayo","Local Guide · 15 reseñas · 31 fotos","Hace un mes","Sin ascensor"
"Fernando F","Local Guide · 427 reseñas · 1.949 fotos","Hace 3 años","Una de tantas estaciones de metro de Madrid. Lástima que Vallekas tenga muchas y Entrevías no tenga ninguna. Por no tener no tenemos ni líneas de bus que lleguen más allá de Atocha. Es una pena que estemos tan abandonados por el Ayuntamiento, la Comunidad y el gobierno central."
"Aurora G.","Local Guide · 976 reseñas · 445 fotos","Hace 7 años","No tiene ascensor, ni puertas automáticas, ni cobertura. No siempre hay gente atendiendo en el vestíbulo, así que si tienes un problema te fastidias"
"PEPINO STRAJAN","9 reseñas","Hace 2 años","Estoy cansado de pasar mi tarjeta por los tornos y la mitad de la gente de Salta los tornos Porque hay muchos días que no hay personal de metro"
"gomenfe","Local Guide · 341 reseñas · 183 fotos","Hace 9 meses","Un barrio de Madrid, cerca del campo de Vallecas y del Alcampo de Vallecas."
"Enrique Mateos","Local Guide · 286 reseñas · 59 fotos","Hace 3 años","Amplio surtido Pez Carne…"
"Retana Vélez","Local Guide · 83 reseñas · 1 foto","Hace 3 años","Estación Buenos Aires, hace alusión al nombre de la capital de Argentina. También una limpia y ordenada estación"
"Senetes Senetes","Local Guide · 20 reseñas","Hace 6 años","Falta,como dicen, ascensores,e incluso  escalera mecánica al inicio de la superficie,es lamentable que una estación de 1994 no tenga ascensor,y que tengas que andar demasiado para alcanzar el metro."
"javi con le","Local Guide · 45 reseñas · 473 fotos","Hace 10 meses","Estación tranquila, luminosa y limpia."
"ALEJANDRA TITO BERMUDEZ","Local Guide · 45 reseñas · 15 fotos","Hace 2 años","Cerca del metro hay dos paraderos de bus nocturno o búho y un parque pequeño."
"nathaly gutierrez","16 reseñas · 11 fotos","Hace 6 años","Mal... No se considera el acceso a personas con discapacidad o con carritos de bebes. ""Falta de ascensor"""
"Araceli Pérez","Local Guide · 49 reseñas · 35 fotos","Hace 6 años","Estación muy moderna para tratarse de la línea 1 de metro (la más antigua de Madrid) y muy limpia."
"justo peña martinez","11 reseñas","Hace 6 años","lo unico que quiero de esta estacion es que pongan ascensor y cobertura ,si quereis que lo pongan pues decidcelo a metro de madrid en twiter"
"Rachel Padilla","Local Guide · 105 reseñas · 1 foto","Hace 3 años","Muy conectado con distintos buses para ir a Atocha"
"D. Sofía T","Local Guide · 35 reseñas · 8 fotos","Hace 6 años","No tiene ascensor ... Ir con el carrito del bebé puede ser una odisea ."
"Juan Antonio Marin Gimeno","Local Guide · 20 reseñas","Hace 7 años","Faltan ascensores a la calle muchas escaleras desde el vestíbulo a la calle poco recomendable para personas con problemas de movilidad"
"Cristela Cristebiologuita","Local Guide · 271 reseñas · 1.069 fotos","Hace 4 años","Tiene mercados cerca y esta próxima a la del alto del arenal"
"DANY YOLI","Local Guide · 650 reseñas · 5.662 fotos","Hace 3 años","Estación de Metro, Línea 1, Junto a Alcampo de Avenida de la Albufera..."
"Raul Domínguez Galache","Local Guide · 382 reseñas · 3.258 fotos","Hace 6 años","Estación de metro relativamente moderna, pero no tiene ascensor ni escaleras mecánicas hasta la calle."
"Carlos Millan Torres","Local Guide · 71 reseñas","Hace 7 años","Sin acceso para personas con movilidad reducida ni cobertura movil."
"Luzbeth avendaño","Local Guide · 54 reseñas · 28 fotos","Hace 2 años","Muy bonito para conocer"
"Jose Peyre","Local Guide · 565 reseñas · 501 fotos","Hace 5 años","Sin ascensor. Tampoco hay cobertura hasta Pacífico."
"ismajdoubi","Local Guide · 76 reseñas · 1.022 fotos","Hace 2 años","💥…"
"Esther","Local Guide · 135 reseñas · 2 fotos","Hace 3 años","Me gusta tiene cosas bonitas"
"Jota Eme","Local Guide · 603 reseñas · 3.033 fotos","Hace 2 años","Varios parques verdes"
"Rafael García Flórez","Local Guide · 23 reseñas · 183 fotos","Hace 6 años","Muy cercano a Alcampo y Media Markt..."
"RalEpupy helen","8 reseñas","Hace 7 años","Y que no tenga un telefono para llamar. Ningún nr.😞…"
"Aarón Chamosa Rey","Local Guide · 193 reseñas · 22 fotos","Hace 7 años","Carece de acceso para personas con movilidad reducida y sin cobertura móvil."
"Liliana carolina Peña H","Local Guide · 103 reseñas · 81 fotos","Hace un año","Excelente Barrio"
"K","Local Guide · 1.250 reseñas · 2.852 fotos","Hace un año","Esta en reforma"
